feature,importance
labs7d_creatinine_count,0.0944326
labs7d_creatinine_min,0.08336794
labs7d_bun_mean,0.06285106
cmb_infection,0.04691022
labs7d_creatinine_std_missing,0.045027208
age,0.03546142
labs7d_bun_std,0.03288088
labs7d_bun_max,0.026022011
emb_341,0.02593292
emb_322,0.025148548
dem_race_WHITE,0.021286737
cmb_liver,0.021156577
cmb_htn,0.021103615
labs7d_ph_last,0.020924807
labs7d_sodium_count,0.020790039
labs7d_sodium_std,0.020397048
labs7d_hgb_last,0.019609688
labs7d_bicarbonate_mean,0.019529305
emb_17,0.019401658
cmb_hf,0.018484995
emb_374,0.018365351
emb_379,0.018035715
vital48h_pap_dbp_max,0.017751133
cmb_cancer,0.017441688
emb_357,0.017416483
labs7d_bun_min,0.01710418
dem_mar_MARRIED,0.016516695
cmb_dm,0.0155143645
labs7d_bicarbonate_mean_missing,0.015344503
emb_298,0.014654887
labs7d_sodium_mean,0.014551584
emb_382,0.014400966
labs7d_bicarbonate_min,0.014249291
emb_47,0.01411778
emb_133,0.013949731
emb_198,0.013490774
fluid48h_net_ml,0.013439038
emb_321,0.013341673
emb_294,0.013321528
emb_383,0.013122303
labs7d_hgb_count,0.012810514
emb_26,0.012807579
emb_346,0.012759346
labs7d_plt_mean_missing,0.012685989
emb_202,0.01257695
labs7d_lactate_min_missing,0.01243655
emb_237,0.0124214105
labs7d_bicarbonate_min_missing,0.012400372
emb_286,0.012330289
emb_204,0.012298121
vital48h_dbp_max,0.01227934
emb_97,0.012074614
hx30d_mech_vent_any,0.011977253
emb_211,0.011746364
emb_160,0.0117328
labs7d_hgb_max_missing,0.01171535
emb_86,0.011654301
emb_182,0.011545432
labs7d_bicarbonate_count_missing,0.011475475
emb_110,0.011366342
emb_152,0.011282993
labs7d_hgb_mean,0.011263442
emb_38,0.011186432
labs7d_creatinine_mean,0.011169815
emb_69,0.011137759
emb_144,0.011126344
emb_32,0.0110278465
vital48h_resp_rate_std,0.01094913
ins_MEDICARE,0.010894576
emb_172,0.010858435
emb_372,0.010791774
emb_306,0.010657878
dem_race_OTHER,0.010530715
emb_330,0.010472942
labs7d_bicarbonate_last_missing,0.010421133
dem_race_BLACK,0.010393186
emb_93,0.010293049
emb_223,0.010260123
labs7d_potassium_min,0.010174567
labs7d_hgb_last_missing,0.010157859
emb_91,0.0100882165
emb_131,0.010066276
emb_290,0.0100536095
emb_191,0.010046917
emb_82,0.010035982
emb_59,0.009987636
emb_104,0.009906839
emb_196,0.009865017
labs7d_ph_mean,0.009861187
emb_343,0.009823136
emb_207,0.009396582
labs7d_potassium_max_missing,0.009361036
emb_3,0.009314023
labs7d_creatinine_min_missing,0.009242542
cmb_cad,0.009218432
emb_56,0.009189796
emb_293,0.00918471
labs7d_bun_count,0.009183216
labs7d_wbc_std_missing,0.009143423
labs7d_bicarbonate_std_missing,0.009127711
labs7d_ph_max,0.00910652
labs7d_bicarbonate_max_missing,0.009032151
emb_359,0.008998774
emb_84,0.008995264
emb_185,0.008958208
emb_74,0.00894495
emb_24,0.008912186
emb_221,0.0088872155
emb_87,0.008850279
emb_115,0.008838757
emb_255,0.00879751
emb_259,0.008762487
emb_162,0.0087156
emb_248,0.008712001
emb_229,0.0086809555
emb_352,0.008630309
emb_67,0.008523976
labs7d_wbc_min_missing,0.008502074
emb_244,0.008468118
labs7d_sodium_min_missing,0.008452504
emb_112,0.008427623
labs7d_plt_mean,0.008376921
emb_355,0.00834539
emb_233,0.008300621
labs7d_hgb_min,0.008285066
emb_120,0.008283963
emb_79,0.008191692
emb_21,0.008169801
emb_257,0.0081404075
emb_75,0.0080876835
emb_334,0.008067128
emb_356,0.008009978
vital48h_dbp_last,0.007986268
labs7d_plt_count,0.007981469
emb_300,0.007909122
emb_276,0.007878589
emb_337,0.007868261
emb_177,0.00779207
labs7d_wbc_mean_missing,0.0077489708
vital48h_cardiac_output_last,0.007732736
labs7d_hgb_max,0.0076789423
labs7d_hgb_std_missing,0.0076085865
emb_66,0.0075803413
emb_168,0.007558757
emb_267,0.0075418698
emb_195,0.0075111184
emb_116,0.007505983
labs7d_creatinine_last_missing,0.007471478
labs7d_plt_max_missing,0.0074620103
emb_183,0.007423845
emb_111,0.0074206186
emb_23,0.0074189072
emb_360,0.007404489
emb_380,0.007377243
dem_sex_M,0.00735486
emb_295,0.007304656
emb_44,0.0072869887
emb_135,0.0072320164
emb_189,0.0071865763
labs7d_wbc_min,0.0071655805
emb_146,0.0071533117
emb_354,0.00713104
emb_53,0.0071260943
emb_252,0.0071228314
emb_124,0.0071113072
emb_128,0.007092732
emb_271,0.007021594
vital48h_shock_index_mean,0.0070208325
labs7d_wbc_last_missing,0.006996216
emb_318,0.006984072
labs7d_sodium_std_missing,0.0069452934
emb_31,0.006931001
emb_206,0.006926143
emb_329,0.0069022262
emb_345,0.0068727178
vital48h_dbp_min,0.0067724884
labs7d_creatinine_max_missing,0.006764389
vital48h_pap_dbp_mean,0.006753321
emb_338,0.006749934
emb_119,0.0066863284
ins_PRIVATE,0.006656443
emb_158,0.0066310586
emb_163,0.0066024945
emb_140,0.0065798275
emb_216,0.006575681
