feature,importance
labs7d_creatinine_min,0.05707184
labs7d_creatinine_count,0.0470039
labs7d_bun_mean,0.039387826
cmb_infection,0.039118905
labs7d_creatinine_std_missing,0.031521775
labs7d_bun_min,0.028154302
cmb_htn,0.02493718
emb_47,0.020830726
dem_race_WHITE,0.019432025
age,0.019180147
emb_341,0.016783059
emb_86,0.01573064
emb_379,0.015278413
labs7d_bun_max,0.014863045
emb_26,0.014852707
emb_223,0.0147508355
emb_301,0.0144605525
cmb_dm,0.014288529
labs7d_bicarbonate_mean,0.0139963385
labs7d_sodium_count,0.013565624
cmb_hf,0.012971728
labs7d_bun_std,0.012906233
emb_104,0.01283651
emb_374,0.012618954
dem_mar_MARRIED,0.012435591
cmb_liver,0.012384934
emb_262,0.01200189
labs7d_sodium_std,0.011922112
emb_196,0.011873463
emb_321,0.011822727
emb_152,0.01178292
fluid48h_net_ml,0.011747003
ins_PRIVATE,0.011655843
emb_357,0.011627292
emb_125,0.011584432
emb_222,0.011526551
labs7d_ph_last,0.011458086
emb_359,0.011436947
emb_300,0.0114063835
emb_198,0.0113390265
emb_14,0.011159717
emb_183,0.011096141
labs7d_hgb_mean,0.010911217
emb_172,0.0108377
emb_69,0.010751443
emb_32,0.010628803
emb_346,0.010588684
cmb_cad,0.0100561455
emb_290,0.010009237
emb_330,0.009866426
emb_59,0.0098530855
emb_322,0.009789671
emb_133,0.00974005
labs7d_wbc_std_missing,0.009655681
emb_30,0.009524419
emb_39,0.009469747
labs7d_bicarbonate_last_missing,0.009423793
emb_119,0.009378729
cmb_cancer,0.009248742
emb_343,0.0092106275
emb_120,0.009209267
labs7d_bicarbonate_min_missing,0.009111615
emb_294,0.009108172
labs7d_ph_max,0.00909214
dem_race_OTHER,0.009088552
emb_367,0.008984124
emb_383,0.00896564
emb_23,0.008921235
labs7d_bicarbonate_mean_missing,0.008852046
emb_171,0.008701578
emb_231,0.008609698
emb_148,0.008603236
emb_356,0.008571422
emb_167,0.008525472
emb_255,0.008501905
emb_270,0.008471423
vital48h_pap_dbp_max,0.008407678
labs7d_bicarbonate_count_missing,0.008375995
emb_97,0.008326896
emb_237,0.008286442
emb_228,0.008281622
emb_259,0.008258482
emb_288,0.008258454
labs7d_bicarbonate_min,0.008218375
labs7d_hgb_max_missing,0.008214398
emb_7,0.008203001
emb_298,0.008155928
labs7d_bicarbonate_max_missing,0.008092688
emb_376,0.0080384
emb_230,0.00795939
emb_107,0.007933652
labs7d_potassium_min,0.007930572
emb_202,0.00790548
fluid6h_output_urine_total_ml,0.007896777
emb_378,0.007890812
emb_309,0.00786384
emb_65,0.007854958
emb_121,0.0078384755
emb_295,0.0077746557
emb_93,0.007762388
emb_94,0.0077513563
emb_210,0.007696184
emb_78,0.0076357643
emb_74,0.007588449
emb_267,0.00751721
emb_276,0.0073952987
emb_17,0.00733327
emb_308,0.0073238714
labs7d_hgb_last_missing,0.007276091
emb_215,0.00722791
labs7d_potassium_mean_missing,0.00722188
emb_56,0.0071714865
emb_338,0.0071552848
emb_220,0.007097796
emb_299,0.007091179
labs7d_hgb_min,0.0070699737
emb_178,0.00706041
emb_140,0.007053541
labs7d_hgb_count,0.007039826
emb_34,0.0070084794
labs7d_bun_count,0.0070009446
emb_3,0.00699257
labs7d_hgb_max,0.0069911648
emb_334,0.006975249
labs7d_hgb_last,0.006953514
hx30d_mech_vent_any,0.0069175144
emb_116,0.006893731
labs7d_plt_count,0.0068928236
emb_195,0.006887604
emb_238,0.006859814
labs7d_sodium_mean,0.006840935
labs7d_plt_count_missing,0.0068323086
labs7d_hgb_min_missing,0.0068242634
labs7d_ph_mean,0.0068024294
emb_204,0.0067546642
emb_42,0.0067321705
emb_266,0.006730588
emb_354,0.0067026396
emb_293,0.0066732373
vital48h_dbp_max,0.006612792
emb_72,0.006606789
emb_311,0.0065835672
emb_286,0.006561611
emb_192,0.006546899
emb_366,0.0064845844
vital48h_pulse_pressure_mean,0.006458332
emb_244,0.006355034
labs7d_sodium_max,0.006304865
emb_306,0.006280886
emb_205,0.00614337
emb_156,0.0061206995
emb_340,0.0060963584
emb_77,0.0060939314
emb_31,0.0060778544
emb_261,0.0060749347
emb_103,0.0060645104
emb_307,0.00605378
emb_206,0.0060390024
labs7d_sodium_min_missing,0.006002964
emb_327,0.0059971483
labs7d_hgb_mean_missing,0.005963592
emb_87,0.005952495
emb_10,0.0059005823
emb_272,0.0058383723
labs7d_potassium_count_missing,0.0057598706
vital48h_dbp_min,0.0057398784
emb_208,0.0057103457
labs7d_lactate_count_missing,0.0057092835
labs7d_hgb_std,0.005700137
emb_303,0.005695032
labs7d_creatinine_mean,0.005651809
emb_194,0.0056430185
vital48h_dbp_count,0.005618102
emb_6,0.005612514
labs7d_hgb_std_missing,0.00560527
labs7d_hgb_count_missing,0.005601759
emb_201,0.005595764
labs7d_plt_mean_missing,0.005550576
labs7d_lactate_mean_missing,0.005505172
emb_136,0.005497504
emb_126,0.005461463
emb_138,0.005437977
emb_177,0.0054377555
dem_mar_SINGLE,0.005436804
emb_219,0.0054367115
emb_232,0.005425134
emb_207,0.005421954
emb_310,0.0054081893
emb_382,0.005396288
vital48h_pap_dbp_mean,0.005390662
labs7d_potassium_last_missing,0.005365189
vital48h_gcs_mean,0.005345954
vital48h_gcs_count,0.0053288983
emb_8,0.0053269565
emb_248,0.0053167404
labs7d_potassium_min_missing,0.005307001
labs7d_plt_std_missing,0.005231462
vital48h_tidal_volume_last,0.0052178707
emb_320,0.005212488
emb_284,0.0051737083
dem_race_BLACK,0.005165462
emb_12,0.005164676
labs7d_plt_max_missing,0.0051637525
vital48h_pap_sbp_std,0.0051586134
labs7d_wbc_last_missing,0.005139083
emb_95,0.0051309145
labs7d_lactate_max_missing,0.005110781
emb_188,0.005099324
emb_258,0.005085285
labs7d_potassium_max_missing,0.0050786054
emb_85,0.0050262827
labs7d_wbc_min_missing,0.0050221896
emb_160,0.0050176694
emb_358,0.0050150724
emb_16,0.0050031887
emb_66,0.0049972353
emb_131,0.004996725
labs7d_wbc_count_missing,0.0049336385
emb_302,0.0049252026
emb_380,0.004924221
emb_81,0.004912758
vital48h_resp_rate_max,0.0049002334
emb_149,0.004875321
emb_184,0.0048663868
emb_36,0.004836985
emb_92,0.0048361747
vital48h_sbp_min,0.004833358
emb_146,0.0048129805
labs7d_sodium_max_missing,0.0048118364
labs7d_plt_mean,0.0047993804
labs7d_lactate_min_missing,0.0047923946
emb_82,0.0047884705
labs7d_plt_last_missing,0.004761194
emb_110,0.0047102068
emb_109,0.0047080386
labs7d_bun_std_missing,0.0047075176
emb_342,0.0046975696
emb_132,0.0046774056
emb_251,0.004660173
vital48h_sbp_count,0.004657726
emb_129,0.0046574227
emb_316,0.0046321703
emb_135,0.0046109743
emb_339,0.00460636
emb_186,0.0045850025
vital48h_cvp_std,0.004571794
vital48h_dbp_last,0.0045500873
vital48h_pap_mbp_std,0.004539667
labs7d_bicarbonate_last,0.0045134076
labs7d_wbc_max_missing,0.004504081
cmb_obesity,0.0045040343
dem_race_UNK,0.0044820653
emb_150,0.004476517
emb_361,0.0044559734
emb_369,0.0044148644
emb_199,0.004406591
emb_122,0.004404289
emb_345,0.004388203
labs7d_wbc_mean_missing,0.0043752966
emb_372,0.004367322
dem_mar_DIVORCED,0.004331256
labs7d_sodium_last_missing,0.0043170406
labs7d_ph_std,0.0042959237
emb_347,0.0042879693
emb_79,0.004287266
vital48h_temperature_count_missing,0.004278804
emb_191,0.004247728
labs7d_wbc_min,0.0042468444
emb_260,0.004244301
emb_292,0.0042348853
emb_224,0.004232027
labs7d_lactate_last_missing,0.0042002574
vital48h_gcs_min,0.004196295
emb_221,0.0041773263
emb_236,0.004158975
labs7d_lactate_std_missing,0.0040959064
emb_153,0.0040931357
emb_124,0.004063395
emb_117,0.004051041
emb_360,0.004049405
labs7d_plt_std,0.0040485025
emb_145,0.0040444047
labs7d_sodium_count_missing,0.0040379832
labs7d_plt_min_missing,0.0040279087
emb_67,0.0040248893
emb_41,0.004020318
emb_99,0.0040070675
vital48h_sbp_last,0.0039986633
emb_182,0.0039920984
vital48h_cardiac_output_count,0.0039900625
emb_105,0.003977207
vital48h_pap_dbp_std,0.003974748
labs7d_sodium_std_missing,0.003968437
emb_193,0.003944363
emb_141,0.0039033615
emb_168,0.003897795
emb_113,0.0038841576
labs7d_bun_last_missing,0.0038468933
emb_180,0.0038312734
emb_5,0.0038204445
emb_73,0.0038033738
emb_317,0.0037835045
vital48h_pap_sbp_mean,0.0037692075
emb_350,0.0037684205
emb_4,0.0037670378
emb_51,0.0037664268
emb_297,0.0037439254
emb_63,0.003740021
emb_21,0.0037290324
emb_25,0.0037276298
emb_60,0.0037212872
labs7d_bun_max_missing,0.003719346
vital48h_gcs_last,0.003717298
emb_200,0.0037165708
emb_173,0.0037161035
emb_291,0.00371181
emb_332,0.0037059356
emb_265,0.003687315
ins_MEDICARE,0.0036670994
vital48h_tidal_volume_min,0.0036591855
vital48h_dbp_std,0.0036506802
labs7d_bun_count_missing,0.0036496613
emb_245,0.0036132485
emb_211,0.003610453
emb_159,0.0036070615
emb_271,0.003590337
emb_263,0.0035829425
emb_54,0.0035814
labs7d_bicarbonate_count,0.0035352327
emb_166,0.0035184165
emb_162,0.0035183355
emb_165,0.0035039475
emb_249,0.003503505
labs7d_albumin_last_missing,0.003489853
emb_377,0.0034855932
emb_176,0.0034839946
labs7d_creatinine_count_missing,0.0034707799
emb_189,0.003469587
vital48h_cardiac_output_max,0.0034583597
fluid48h_output_urine_total_ml,0.0034582713
emb_253,0.0034174202
emb_209,0.003412336
emb_170,0.0034034115
emb_75,0.0034020338
emb_349,0.0033992745
emb_35,0.003399209
emb_214,0.003395732
emb_362,0.0033797338
emb_98,0.0033771342
emb_58,0.0033768339
emb_84,0.0033757465
emb_355,0.0033685886
emb_22,0.0033685481
emb_344,0.0033673663
emb_285,0.003361327
emb_329,0.0033611355
labs7d_bicarbonate_std_missing,0.0033452201
labs7d_ph_min,0.003325148
emb_216,0.0033140904
cmb_copd,0.0032977846
emb_312,0.0032928817
emb_96,0.0032910877
emb_127,0.0032831817
labs7d_bun_min_missing,0.003271004
vital48h_spo2_value_mean,0.0032656298
labs7d_sodium_min,0.003257426
labs7d_creatinine_min_missing,0.0032530115
vital48h_pap_dbp_count,0.003250325
emb_134,0.0032463062
emb_277,0.003244675
vital48h_cvp_count,0.003238482
emb_53,0.0032350093
emb_370,0.00322712
emb_373,0.0032190161
emb_91,0.003214798
dem_sex_M,0.0032078465
labs7d_creatinine_mean_missing,0.0032006192
dem_race_ASIAN,0.0031990604
emb_247,0.0031937095
emb_318,0.0031932655
emb_43,0.0031599372
emb_287,0.0031543928
dem_mar_UNK,0.003146761
emb_187,0.0031329794
emb_257,0.0031047899
emb_328,0.0031026108
emb_33,0.0030998152
emb_57,0.0030970545
emb_243,0.00309681
labs7d_creatinine_last_missing,0.00309505
vital48h_cardiac_output_last,0.0030930168
emb_323,0.0030861488
emb_29,0.0030818807
emb_20,0.0030768868
emb_351,0.003072238
emb_242,0.0030638394
emb_155,0.0030613604
emb_147,0.0030599744
emb_353,0.0030558878
emb_76,0.0030481284
emb_313,0.0030467575
labs7d_creatinine_max_missing,0.0030389118
emb_273,0.0030299574
emb_38,0.0030272177
emb_256,0.003015359
emb_352,0.0030129848
emb_227,0.003011235
emb_101,0.0030080248
vital48h_cvp_min,0.0029985916
vital48h_pap_dbp_std_missing,0.0029920775
emb_225,0.0029887985
emb_71,0.002985618
labs7d_sodium_mean_missing,0.0029837107
vital48h_pap_sbp_min,0.002982017
emb_250,0.0029601953
vital48h_spo2_mean,0.0029478914
emb_28,0.0029450583
emb_144,0.0029362745
emb_44,0.0029357106
emb_336,0.0029330857
vital48h_resp_rate_count,0.0029296107
emb_246,0.002926708
emb_365,0.0029244917
emb_175,0.0029214919
labs7d_wbc_count,0.002918223
emb_315,0.0029165528
emb_296,0.0029163251
emb_212,0.002911964
dem_mar_WIDOWED,0.0029080498
vital48h_shock_index_mean,0.0028990463
emb_151,0.0028747744
emb_143,0.0028712538
emb_2,0.0028587843
ins_UNKNOWN,0.002854215
vital48h_pap_mbp_std_missing,0.0028498853
emb_118,0.002849461
emb_45,0.0028356547
emb_240,0.0028295002
emb_18,0.0028214855
vital48h_cardiac_output_min,0.0028211875
labs7d_potassium_std_missing,0.002812091
emb_164,0.0028043417
emb_0,0.002799099
labs7d_bun_mean_missing,0.0027983314
fluid6h_input_count,0.0027968
emb_371,0.0027806861
emb_203,0.0027645838
dem_sex_F,0.0027592373
emb_24,0.0027516382
cmb_cerebrovasc,0.0027483949
vital48h_pap_pulse_pressure_mean,0.002746428
emb_139,0.002736361
emb_128,0.0027267274
fluid6h_input_total_ml,0.0027223285
emb_325,0.0027181972
emb_49,0.0027121962
emb_190,0.0027114556
emb_241,0.002711426
emb_337,0.002710242
labs7d_lactate_count,0.002700432
emb_226,0.0026993668
emb_70,0.0026979304
emb_319,0.0026923763
emb_55,0.0026810365
dem_race_HISPANIC,0.0026737996
labs7d_lactate_min,0.0026725656
emb_64,0.0026699814
emb_254,0.0026657037
emb_278,0.0026642233
emb_15,0.0026635195
emb_375,0.0026575767
fluid48h_input_total_ml,0.0026475848
emb_68,0.0026472008
emb_368,0.0026453107
emb_364,0.0026297634
vital48h_heart_rate_std_missing,0.002627513
emb_52,0.0026267455
vital48h_pap_sbp_std_missing,0.0026243469
emb_62,0.0026163596
emb_217,0.0026118904
emb_114,0.002608034
emb_102,0.0026064354
emb_363,0.0026064066
vital48h_sbp_std,0.002606284
emb_283,0.0025988985
emb_252,0.0025982868
emb_235,0.0025898055
emb_123,0.002585817
vital48h_spo2_min,0.0025812034
vital48h_sbp_max,0.0025714776
emb_48,0.002557947
emb_154,0.0025389586
emb_83,0.002538468
emb_111,0.0025337085
emb_158,0.0025228348
labs7d_bicarbonate_max,0.0025111616
vital48h_gcs_std_missing,0.002496278
emb_279,0.0024925766
emb_274,0.0024744347
emb_185,0.0024729671
emb_348,0.0024532217
vital48h_dbp_value_mean,0.0024489693
emb_13,0.0024466685
emb_19,0.0024430982
ins_ASSISTANT,0.0024278655
emb_275,0.0024159516
emb_234,0.002405027
emb_181,0.0023999366
fluid48h_net_ml_missing,0.0023990048
vital48h_tidal_volume_mean,0.002395653
emb_169,0.002395238
emb_130,0.0023798503
vital48h_pap_sbp_count,0.0023755366
emb_112,0.0023642224
emb_304,0.002363307
labs7d_potassium_mean,0.0023578987
emb_305,0.0023552952
vital48h_cvp_max,0.0023479916
emb_264,0.002346933
emb_108,0.002344698
emb_50,0.00233785
labs7d_potassium_std,0.0023178488
emb_233,0.0023111189
emb_213,0.0023025486
emb_333,0.0022943874
vital48h_temperature_count,0.0022887285
labs7d_albumin_std_missing,0.0022865804
emb_137,0.0022833252
emb_324,0.0022780707
emb_218,0.0022747295
vital48h_resp_rate_std,0.0022721502
emb_80,0.0022661998
emb_289,0.0022577292
labs7d_ph_mean_missing,0.002245748
emb_40,0.0022333292
fluid6h_net_rate_ml_per_hr,0.0022224612
labs7d_albumin_count_missing,0.0022159093
emb_239,0.0022140695
labs7d_albumin_max_missing,0.0022083418
emb_269,0.0022078943
emb_90,0.0022039243
emb_282,0.0022036643
emb_281,0.0022008384
labs7d_bun_last,0.0021824252
vital48h_dbp_mean,0.002179687
emb_115,0.0021794594
emb_106,0.002176701
emb_280,0.0021699152
emb_46,0.0021542292
vital48h_cvp_last,0.002151519
vital48h_pap_dbp_last,0.0021428957
labs7d_ph_std_missing,0.0021386
labs7d_potassium_count,0.0021328966
labs7d_albumin_min,0.002131239
vital48h_pap_dbp_min,0.0020977003
emb_9,0.0020933752
labs7d_sodium_last,0.0020615938
emb_335,0.0020557183
emb_179,0.0020456794
vital48h_resp_rate_last,0.002039309
fluid48h_net_rate_ml_per_hr_missing,0.002021298
labs7d_ph_last_missing,0.0020208945
labs7d_plt_last,0.00200501
labs7d_albumin_mean_missing,0.0019949165
vital48h_pap_sbp_last,0.0019948483
vital48h_pap_mbp_mean,0.001989208
labs7d_creatinine_std,0.0019790372
labs7d_albumin_min_missing,0.0019633202
vital48h_spo2_count,0.0019618422
emb_37,0.0019591593
emb_174,0.0019471481
labs7d_albumin_count,0.0019465837
emb_197,0.0019436759
labs7d_ph_max_missing,0.0019307375
labs7d_bicarbonate_std,0.0019120198
vital48h_heart_rate_mean,0.0019058675
emb_11,0.0019036686
emb_100,0.0018966418
vital48h_gcs_std,0.0018767795
emb_314,0.0018722777
labs7d_plt_min,0.0018566572
emb_161,0.0018341595
emb_326,0.0018308227
emb_142,0.0018264909
emb_381,0.0018031939
vital48h_cardiac_output_mean,0.0018031652
emb_61,0.0017981699
hx30d_diuretics_any,0.0017839572
labs7d_potassium_max,0.001764966
emb_88,0.001732359
vital48h_pap_mbp_last,0.001726405
labs7d_ph_min_missing,0.001697859
labs7d_ph_count_missing,0.001689806
fluid6h_output_urine_count,0.0016729607
emb_27,0.0016594082
emb_89,0.0016537326
emb_1,0.0016409233
emb_157,0.0016384039
vital48h_temperature_std,0.0016374263
vital48h_pap_mbp_count,0.0016249502
vital48h_pap_dbp_min_missing,0.0016232952
vital48h_pap_sbp_max,0.0016228571
vital48h_temperature_last_missing,0.0016197627
vital48h_temperature_value_mean_missing,0.0016175783
emb_268,0.0016084111
emb_331,0.0015961862
emb_229,0.0015864217
vital48h_cardiac_output_std_missing,0.0015841633
labs7d_lactate_mean,0.0015811292
vital48h_spo2_last,0.0015736169
vital48h_cvp_mean,0.0015634304
fluid6h_net_ml,0.0015580687
emb_163,0.0015504458
vital48h_spo2_std_missing,0.0015210216
vital48h_heart_rate_mean_missing,0.0015181489
vital48h_cvp_std_missing,0.0014910585
vital48h_cardiac_output_std,0.0014773539
vital48h_gcs_max,0.0014378862
labs7d_plt_max,0.0014371456
vital48h_spo2_min_missing,0.0014065726
labs7d_wbc_std,0.0014005807
vital48h_sbp_value_mean,0.0013862683
vital48h_sbp_mean,0.0013846227
vital48h_spo2_last_missing,0.001378491
vital48h_mbp_std,0.0013712907
vital48h_temperature_std_missing,0.0013703847
vital48h_pap_mbp_max,0.001347619
vital48h_mbp_value_mean_missing,0.0013309971
vital48h_heart_rate_min_missing,0.0013095144
vital48h_heart_rate_count,0.0012984049
vital48h_spo2_mean_missing,0.0012927651
vital48h_pap_sbp_mean_missing,0.0012902926
labs7d_creatinine_max,0.0012692278
vital48h_mbp_mean,0.0012681639
vital48h_spo2_value_mean_missing,0.0012528902
vital48h_pap_dbp_count_missing,0.0012374062
vital48h_mbp_max,0.0012281474
vital48h_temperature_max_missing,0.0012194995
labs7d_wbc_mean,0.0012160909
vital48h_temperature_mean_missing,0.0012084771
labs7d_ph_count,0.0011861812
labs7d_wbc_last,0.0011704398
vital48h_temperature_min_missing,0.0011550864
vital48h_pap_sbp_max_missing,0.0011433129
fluid6h_net_rate_ml_per_hr_missing,0.0011419824
vital48h_pap_sbp_min_missing,0.0011391522
vital48h_heart_rate_max_missing,0.0011249242
vital48h_mbp_value_mean,0.0011242712
vital48h_spo2_max_missing,0.0011149581
fluid48h_output_urine_count,0.0011091443
vital48h_pap_dbp_max_missing,0.0011062116
labs7d_wbc_max,0.0011060095
vital48h_spo2_count_missing,0.0010971182
vital48h_heart_rate_min,0.0010963707
vital48h_pap_mbp_min,0.0010903951
labs7d_lactate_last,0.0010801889
vital48h_resp_rate_min,0.0010514873
vital48h_pap_sbp_count_missing,0.001037618
vital48h_mbp_max_missing,0.0010297707
vital48h_resp_rate_mean,0.0010260247
vital48h_mbp_count_missing,0.0010042477
vital48h_pap_pulse_pressure_mean_missing,0.0009931923
vital48h_pap_sbp_last_missing,0.00093987497
vital48h_resp_rate_last_missing,0.00093672826
fluid6h_net_ml_missing,0.0009350592
vital48h_resp_rate_min_missing,0.00093031256
vital48h_pap_dbp_mean_missing,0.00092493894
vital48h_resp_rate_max_missing,0.00089729426
hx30d_nsaids_any,0.0008878258
vital48h_resp_rate_mean_missing,0.00088136626
vital48h_mbp_last_missing,0.0008810658
vital48h_pap_dbp_last_missing,0.00087467814
fluid6h_input_total_ml_missing,0.0008682666
hx30d_vasopressors_any,0.0008570573
fluid48h_input_count_missing,0.00085059047
fluid6h_input_rate_ml_per_hr_missing,0.0007983934
vital48h_resp_rate_std_missing,0.0007967119
vital48h_resp_rate_count_missing,0.0007910095
vital48h_tidal_volume_last_missing,0.000783307
vital48h_mbp_min_missing,0.00077121437
labs7d_creatinine_last,0.0007697891
vital48h_tidal_volume_count_missing,0.000768832
vital48h_pap_mbp_count_missing,0.0007485034
vital48h_tidal_volume_min_missing,0.0007104928
vital48h_tidal_volume_mean_missing,0.00069139
fluid48h_input_rate_ml_per_hr_missing,0.0006749736
vital48h_heart_rate_count_missing,0.000674802
vital48h_mbp_mean_missing,0.00067040545
vital48h_tidal_volume_max_missing,0.0006576389
fluid6h_output_urine_rate_ml_per_hr,0.00065565645
vital48h_heart_rate_last_missing,0.0006462386
fluid6h_input_count_missing,0.0006395329
vital48h_heart_rate_max,0.0006324878
vital48h_tidal_volume_std_missing,0.00062970375
vital48h_mbp_min,0.00061589916
vital48h_cardiac_output_last_missing,0.0006110983
vital48h_heart_rate_std,0.0005976721
labs7d_albumin_last,0.0005898641
vital48h_gcs_min_missing,0.00058612466
vital48h_mbp_last,0.0005856443
vital48h_pap_mbp_min_missing,0.0005828292
labs7d_lactate_max,0.0005697234
fluid48h_input_total_ml_missing,0.00056823395
labs7d_lactate_std,0.0005584441
vital48h_heart_rate_last,0.00054435525
vital48h_pap_mbp_mean_missing,0.00050167943
vital48h_pap_mbp_max_missing,0.00050079485
labs7d_potassium_last,0.0004531874
fluid6h_output_urine_rate_ml_per_hr_missing,0.00045181497
fluid48h_net_rate_ml_per_hr,0.00045160728
vital48h_gcs_max_missing,0.00042270325
vital48h_gcs_mean_missing,0.00042114104
vital48h_spo2_std,0.0004206346
vital48h_gcs_count_missing,0.00041160986
vital48h_cvp_min_missing,0.00039327174
vital48h_cvp_last_missing,0.00037799525
vital48h_shock_index_mean_missing,0.00037750014
vital48h_cardiac_output_min_missing,0.00035133123
vital48h_cardiac_output_count_missing,0.00032131217
vital48h_tidal_volume_max,0.00031113854
fluid48h_output_urine_rate_ml_per_hr,0.0003045336
vital48h_gcs_last_missing,0.00029900373
fluid48h_output_urine_total_ml_missing,0.0002958387
vital48h_cvp_count_missing,0.00029097075
vital48h_pap_mbp_last_missing,0.0002904475
fluid6h_output_urine_total_ml_missing,0.000279502
vital48h_cvp_mean_missing,0.00027893248
vital48h_cardiac_output_max_missing,0.00027285665
vital48h_cardiac_output_mean_missing,0.00027091365
fluid48h_output_urine_count_missing,0.00026597886
fluid48h_output_urine_rate_ml_per_hr_missing,0.00026570357
vital48h_sbp_last_missing,0.00025546947
vital48h_cvp_max_missing,0.00025297806
fluid48h_input_count,0.00024425908
fluid6h_output_urine_count_missing,0.00023779912
vital48h_tidal_volume_std,0.00021854934
vital48h_dbp_last_missing,0.00014567091
vital48h_pulse_pressure_mean_missing,0.0001235367
vital48h_dbp_value_mean_missing,0.00010241426
vital48h_sbp_value_mean_missing,0.00010096691
vital48h_temperature_min,9.4784125e-05
fluid48h_input_rate_ml_per_hr,8.2827435e-05
vital48h_dbp_mean_missing,7.774961e-05
vital48h_temperature_mean,7.7216064e-05
vital48h_spo2_max,7.539868e-05
vital48h_sbp_count_missing,7.202608e-05
fluid6h_input_rate_ml_per_hr,6.505253e-05
vital48h_sbp_min_missing,6.380131e-05
labs7d_albumin_mean,4.9207407e-05
vital48h_temperature_value_mean,4.8940725e-05
vital48h_sbp_max_missing,4.5984125e-05
vital48h_sbp_mean_missing,4.3035863e-05
vital48h_temperature_max,3.9521776e-05
vital48h_dbp_count_missing,3.289372e-05
vital48h_temperature_last,3.254982e-05
vital48h_dbp_min_missing,1.823374e-05
labs7d_albumin_max,1.807068e-05
labs7d_albumin_std,5.4330203e-06
vital48h_dbp_max_missing,1.739067e-06
vital48h_dbp_std_missing,1.7998504e-11
vital48h_sbp_std_missing,1.6794061e-11
vital48h_mbp_count,1.39226495e-11
hx30d_mannitol_any,9.139292e-12
hx31to180d_aminoglycosides_any,3.809437e-12
hx31to180d_vasopressors_any,3.6174844e-12
vital48h_minute_ventilation_mean,0.0
vital48h_minute_ventilation_last_missing,0.0
hx31to180d_mannitol_any,0.0
vital48h_minute_ventilation_std_missing,0.0
dem_mar_SEPARATED,0.0
hx31to180d_colloid_bolus_any,0.0
hx31to180d_mech_vent_any,0.0
vital48h_minute_ventilation_std,0.0
vital48h_minute_ventilation_count_missing,0.0
vital48h_minute_ventilation_last,0.0
vital48h_minute_ventilation_min_missing,0.0
hx31to180d_diuretics_any,0.0
vital48h_minute_ventilation_max_missing,0.0
vital48h_minute_ventilation_count,0.0
vital48h_minute_ventilation_max,0.0
hx31to180d_nsaids_any,0.0
vital48h_minute_ventilation_min,0.0
hx30d_colloid_bolus_any,0.0
vital48h_mbp_std_missing,0.0
vital48h_tidal_volume_count,0.0
hx30d_aminoglycosides_any,0.0
dem_mar_OTHER,0.0
vital48h_minute_ventilation_mean_missing,0.0
