X	Estimate	Std. Error	z value	Pr(>|z|)	Pr(>|z|).noscaled	Std. Error.noScaled	z value.noScaled
(Intercept)	1.109935949	0.260465698	4.261351711	2.03E-05	2.18E-41	0.082366486	13.47557732
cmb_htn	0.374247486	0.021027996	17.7975822	0	0	0.006649636	56.2808966
cmb_dm	0.363131246	0.022173841	16.37656022	0	0	0.007011984	51.78723055
cmb_cad	0.193857452	0.024789557	7.820125869	5.33E-15	5.16E-135	0.007839146	24.72940934
cmb_hf	0.976131006	0.027106431	36.01104919	0	0	0.008571806	113.8769364
cmb_copd	0.218530008	0.029261057	7.468288327	8.13E-14	2.59E-123	0.009253159	23.61680134
cmb_cancer	0.462033221	0.026057387	17.73137226	0	0	0.008240069	56.07152237
cmb_infection	1.27405854	0.029514193	43.16765646	0	0	0.009333207	136.5081157
cmb_liver	1.110236643	0.029325097	37.85960746	0	0	0.00927341	119.7225909
cmb_cerebrovasc	-0.082681775	0.046345665	-1.784023934	0.074419776	1.68E-08	0.014655786	-5.641579032
cmb_obesity	0.326858849	0.029638264	11.02827229	0	1.81E-266	0.009372442	34.8744591
age	0.015879314	0.000738882	21.49100494	0	0	0.000233655	67.96052482
dem_sex_M	0.152072481	0.174850312	0.869729538	0.384448226	0.005953595	0.055292524	2.750326289
dem_race_BLACK	0.439706007	0.026784906	16.41618635	0	0	0.008470131	51.91253935
dem_race_OTHER	-0.005346047	0.036365891	-0.147007186	0.883126348	0.642019156	0.011499905	-0.46487754
ins_ASSISTANT	-0.021232363	0.029805322	-0.712368191	0.476236808	0.024277691	0.00942527	-2.252706017
ins_PRIVATE	-0.12452572	0.02649092	-4.700694363	2.59E-06	5.57E-50	0.008377165	-14.86490077
ins_UNKNOWN	-0.243287748	0.049133239	-4.951591917	7.36E-07	2.92E-55	0.015537294	-15.6583085
labs7d_hgb_mean	-0.099987971	0.007466781	-13.39104092	0	0	0.002361204	-42.34618954
labs7d_100plt_mean	-0.05318283	0.009497267	-5.599803697	2.15E-08	3.63E-70	0.003	-17.70813413
labs7d_100creatinine_mean	-0.159412947	0.046165277	-3.453091994	0.0005542	9.29E-28	0.014598742	-10.91963567
labs7d_10bun_mean	0.116190585	0.004823964	24.08612214	0	0	0.001525471	76.16700595
labs7d_10sodium_mean	-0.196250658	0.015997572	-12.26752762	0	0	0.005058877	-38.79332852
labs7d_100potassium_mean	-0.14166649	0.6130644	-0.231079297	0.817253198	0.464939873	0.193867986	-0.730736898
labs7d_10bicarbonate_mean	-0.666157687	0.04331148	-15.38062643	0	0	0.013696292	-48.63781135
hx30d_mech_vent_any	0.865812881	0.06157329	14.06150112	0	0	0.019471184	44.46637087
cmb_infectionM	-0.100951664	0.040738091	-2.478065653	0.013209684	4.64E-15	0.012882516	-7.836331654
dem_mar_MARRIEDM	-0.141985036	0.026006466	-5.459605205	4.77E-08	8.66E-67	0.008223967	-17.26478757
labs7d_hgb_meanM	0.0319497	0.009469113	3.374096342	0.000740584	1.41E-26	0.002994396	10.66982949
labs7d_10bun_meanM	-0.004319193	0.006177901	-0.699136125	0.484466964	0.027045357	0.001953624	-2.210862549
labs7d_10bicarbonate_meanM	0.052349394	0.059226879	0.883878989	0.37676154	0.005188835	0.018729184	2.795070782
hx30d_mech_vent_anyM	0.089463971	0.078437858	1.14057132	0.254048358	0.000309993	0.024804229	3.606803206
labs7d_100creatinine_meanM	0.386832039	0.076307787	5.0693652	3.99E-07	7.79E-58	0.024130641	16.03074032
