feature,importance
labs7d_bun_mean,0.046234217
labs7d_creatinine_count,0.045942616
labs7d_creatinine_min,0.037129376
labs7d_bun_std,0.021758605
cmb_infection,0.020075187
labs7d_bun_max,0.015000821
labs7d_bun_min,0.014369619
vital48h_pap_sbp_std,0.014057203
vital48h_pap_sbp_mean,0.012004777
labs7d_bicarbonate_mean,0.011655779
labs7d_bun_last,0.011419022
vital48h_cvp_max,0.010909562
labs7d_ph_mean,0.010054114
vital48h_resp_rate_count,0.0100404825
labs7d_hgb_count,0.009696208
vital48h_sbp_mean,0.009442662
vital48h_pap_dbp_count,0.009394857
cmb_liver,0.009373408
vital48h_pap_sbp_min,0.009096491
labs7d_hgb_mean,0.0089263655
cmb_htn,0.008776473
labs7d_sodium_std,0.008627994
vital48h_mbp_min,0.008206581
vital48h_resp_rate_last,0.007890867
labs7d_sodium_count,0.0077868495
cmb_hf,0.006847143
vital48h_cvp_std,0.0068364013
vital48h_heart_rate_last,0.0067993077
labs7d_sodium_mean,0.0067622536
labs7d_plt_max,0.0066941045
vital48h_heart_rate_max,0.006608023
labs7d_wbc_count,0.0066039874
cmb_cancer,0.0065095024
vital48h_cardiac_output_min,0.006423136
vital48h_cvp_min,0.006409664
labs7d_ph_last,0.0063746814
vital48h_temperature_last,0.00633994
labs7d_potassium_count,0.0060680555
vital48h_dbp_mean,0.006007467
vital48h_cvp_last,0.005847758
labs7d_plt_count,0.005386636
labs7d_creatinine_mean,0.0053771376
vital48h_cvp_count,0.005275763
labs7d_bicarbonate_min,0.005152194
vital48h_dbp_min,0.005124946
labs7d_bicarbonate_max,0.0049680606
labs7d_plt_last,0.0047909026
vital48h_mbp_max,0.00477835
emb_10,0.004604426
vital48h_temperature_min,0.0045661735
vital48h_dbp_last,0.0044857855
vital48h_resp_rate_min,0.0044721602
ins_PRIVATE,0.004443867
vital48h_mbp_std,0.0043927566
labs7d_hgb_max,0.0043696193
vital48h_pap_dbp_min,0.004271712
vital48h_sbp_count,0.004241405
cmb_dm,0.004154861
vital48h_mbp_last,0.0040924787
vital48h_cardiac_output_count,0.004028883
emb_153,0.0039538657
vital48h_cardiac_output_std,0.0039024788
labs7d_plt_min,0.003897335
vital48h_sbp_max,0.0038891006
labs7d_hgb_std,0.003801077
labs7d_bicarbonate_count,0.0037818968
vital48h_heart_rate_count,0.0037517673
ins_MEDICARE,0.0037447063
labs7d_bun_count,0.0037260875
vital48h_heart_rate_mean,0.0036522532
cmb_cad,0.0036373688
vital48h_temperature_count,0.0036364477
vital48h_pap_dbp_mean,0.0036294698
labs7d_potassium_min,0.0036097008
emb_151,0.003596174
vital48h_spo2_last,0.0034869944
labs7d_bicarbonate_last,0.0034297786
vital48h_sbp_std,0.0032737385
vital48h_dbp_max,0.003271088
vital48h_dbp_count,0.0032673078
vital48h_cvp_mean,0.0032020456
vital48h_pap_dbp_std,0.0031388118
hx31to180d_mannitol_any,0.0030960152
labs7d_wbc_min,0.003022625
labs7d_ph_min,0.0029725616
emb_9,0.0029687553
hx31to180d_mech_vent_any,0.0029018354
vital48h_minute_ventilation_min,0.0028924376
emb_227,0.00289074
labs7d_sodium_max,0.0028794778
emb_316,0.002819879
vital48h_cardiac_output_max,0.0028040395
vital48h_pap_sbp_last,0.0027877272
fluid48h_net_ml,0.0027561784
labs7d_sodium_last,0.0027549393
vital48h_temperature_max,0.0027130083
vital48h_spo2_max,0.0027120095
vital48h_tidal_volume_last,0.0026991584
vital48h_dbp_std,0.0026458793
hx30d_aminoglycosides_any,0.0026450967
vital48h_tidal_volume_count_missing,0.00264357
vital48h_minute_ventilation_std,0.002597088
hx31to180d_diuretics_any,0.002596081
emb_146,0.0025921229
labs7d_hgb_last,0.0025811223
labs7d_lactate_mean,0.0025702638
vital48h_mbp_count,0.0025587447
vital48h_resp_rate_mean,0.0025399288
labs7d_potassium_mean,0.0025176376
emb_284,0.002494718
emb_157,0.0024732267
vital48h_minute_ventilation_count,0.0024602225
cmb_copd,0.002451803
emb_178,0.0024468424
vital48h_minute_ventilation_max,0.0024196086
emb_29,0.0023979798
labs7d_lactate_max_missing,0.0023835867
vital48h_heart_rate_std,0.0023776647
emb_116,0.0023691487
vital48h_tidal_volume_count,0.002353825
vital48h_pap_dbp_last,0.0023395726
labs7d_bun_std_missing,0.0023343065
ins_ASSISTANT,0.0023227716
vital48h_spo2_std,0.0023025293
labs7d_hgb_min,0.002296204
emb_138,0.0022911376
vital48h_sbp_last,0.0022840379
vital48h_resp_rate_std,0.0022742464
labs7d_potassium_count_missing,0.0022664529
vital48h_spo2_count,0.0022571704
labs7d_albumin_last_missing,0.0022328612
fluid6h_output_urine_count_missing,0.002230718
vital48h_sbp_min,0.0022281401
emb_329,0.0022161163
emb_299,0.0021893077
fluid6h_input_count,0.0021521153
labs7d_potassium_last,0.00214073
