feature,importance
cmb_infection,0.08451878
labs7d_creatinine_max,0.06958681
cmb_hf,0.024981065
cmb_liver,0.01776461
emb_100,0.016320048
cmb_htn,0.015799658
hx30d_mech_vent_any,0.015241741
labs7d_bun_max,0.014650736
labs7d_hgb_count,0.0124846175
emb_149,0.011602537
labs7d_plt_last,0.011124197
labs7d_wbc_count,0.009258615
cmb_dm,0.008363663
cmb_cancer,0.00797745
emb_322,0.006802134
emb_42,0.0066841426
ins_MEDICARE,0.0066046687
emb_295,0.0065807425
emb_136,0.0058581545
cmb_cad,0.005510435
emb_186,0.0054213507
emb_70,0.00520853
emb_197,0.005191706
ins_PRIVATE,0.0049664224
emb_189,0.004811915
labs7d_creatinine_std,0.004728123
labs7d_bicarbonate_min,0.004447067
labs7d_creatinine_last,0.0044022626
labs7d_creatinine_min,0.004399292
age,0.004302835
labs7d_albumin_min,0.004165818
dem_race_BLACK,0.004099064
emb_228,0.004039622
emb_59,0.0038492181
emb_119,0.0037775403
labs7d_bicarbonate_count,0.0037505478
labs7d_sodium_last,0.0037430928
dem_sex_F,0.0035997718
emb_327,0.0035345522
labs7d_lactate_last,0.0034893348
labs7d_hgb_max,0.0033292295
labs7d_bun_std,0.0032754252
labs7d_sodium_std,0.0032315087
emb_14,0.0031423895
emb_336,0.0030919886
emb_131,0.0030718378
emb_47,0.0030329067
emb_190,0.0030155524
emb_63,0.0029750995
emb_302,0.0029040389
labs7d_sodium_max,0.0028949068
emb_208,0.0028805542
labs7d_lactate_min,0.0028008146
emb_65,0.002697601
labs7d_lactate_mean,0.0026968133
emb_2,0.0026852158
labs7d_wbc_last,0.0026542484
emb_239,0.0026421093
emb_268,0.0025793142
emb_144,0.002549682
labs7d_lactate_count,0.0025426499
emb_16,0.0024405224
labs7d_ph_last,0.00243013
emb_133,0.0023662508
cmb_obesity,0.0023614948
emb_317,0.0023271441
emb_216,0.0022993265
emb_365,0.002293234
emb_33,0.0022525713
emb_323,0.002242042
labs7d_creatinine_count,0.002235553
labs7d_bicarbonate_mean,0.0022221436
emb_121,0.00221044
emb_241,0.002185783
labs7d_albumin_mean,0.0021657783
emb_307,0.0021174452
emb_104,0.0021053096
labs7d_bun_min,0.002098407
emb_76,0.0020337815
emb_97,0.0019992834
emb_355,0.001979754
emb_367,0.0019430753
emb_81,0.0019367861
emb_67,0.0019324197
emb_368,0.0019319573
labs7d_hgb_mean,0.0019223304
emb_319,0.0019083476
labs7d_ph_count,0.0018932435
emb_158,0.0018550782
labs7d_ph_min,0.0018273481
emb_265,0.0017965401
emb_184,0.0017898135
labs7d_albumin_last,0.0017883432
emb_92,0.001740618
emb_181,0.0017250773
emb_156,0.0017123282
labs7d_wbc_mean,0.0017107435
labs7d_bun_count,0.0017023379
labs7d_sodium_count,0.0016990699
emb_370,0.001698711
labs7d_hgb_std,0.0016882679
emb_194,0.0016862911
emb_243,0.0016343556
emb_281,0.0016223928
emb_172,0.0016194317
dem_mar_UNK,0.0016167082
emb_294,0.0016133614
emb_45,0.0016093586
emb_237,0.0015843513
emb_264,0.0015829938
labs7d_ph_max,0.001575103
labs7d_ph_mean,0.0015673366
emb_164,0.0015634395
emb_325,0.0015579899
labs7d_sodium_min,0.0015516693
emb_310,0.0015473178
dem_mar_SINGLE,0.0015472426
emb_22,0.0015447019
emb_252,0.0015430199
emb_350,0.0015416902
emb_183,0.0015364919
emb_151,0.0015081742
emb_163,0.0015050466
emb_36,0.0014998157
labs7d_lactate_max,0.0014964099
emb_123,0.0014921534
emb_60,0.0014911783
emb_254,0.0014896725
emb_50,0.001486779
emb_26,0.0014865237
emb_223,0.0014675999
labs7d_plt_mean,0.0014654184
emb_240,0.0014637341
emb_293,0.0014559826
emb_331,0.0014547979
emb_199,0.0014536459
emb_210,0.0014447842
emb_274,0.001440588
labs7d_wbc_min,0.0014323575
emb_285,0.0014249166
emb_220,0.0014106042
emb_236,0.0014088539
emb_48,0.0014039767
emb_157,0.0014028485
emb_371,0.0014005478
emb_380,0.0013999994
labs7d_potassium_mean,0.0013940017
emb_146,0.0013923126
emb_357,0.0013906183
emb_292,0.001385039
emb_128,0.0013656889
emb_152,0.0013595597
emb_346,0.0013581092
emb_304,0.0013511183
emb_20,0.0013481356
emb_372,0.0013458277
emb_361,0.0013456654
labs7d_plt_min,0.0013420401
emb_362,0.0013392933
emb_166,0.0013389124
emb_106,0.0013321154
emb_271,0.0013302052
emb_180,0.001328366
emb_315,0.0013279673
labs7d_sodium_mean,0.0013259905
emb_383,0.0013259364
emb_44,0.0013240743
emb_43,0.0013228697
labs7d_potassium_max,0.00132147
emb_341,0.0013213254
emb_127,0.0013206813
emb_112,0.0013199607
emb_301,0.0013192409
emb_126,0.0013141332
labs7d_plt_max,0.0013125762
emb_246,0.00130716
emb_124,0.0013047225
emb_137,0.0013033625
labs7d_hgb_last,0.0012945943
cmb_cerebrovasc,0.0012925001
emb_330,0.0012876634
emb_337,0.0012868171
emb_381,0.0012857649
emb_314,0.0012829127
emb_374,0.0012828524
labs7d_plt_count,0.0012817774
emb_253,0.0012802064
emb_93,0.0012751333
emb_116,0.0012673873
emb_257,0.0012638276
emb_270,0.0012591601
emb_87,0.0012585823
emb_321,0.0012584318
emb_34,0.0012582918
emb_83,0.0012540144
emb_306,0.0012453747
emb_141,0.0012429802
emb_0,0.0012415748
emb_129,0.0012337925
emb_333,0.00123309
emb_227,0.001230515
emb_113,0.0012287681
emb_84,0.0012285735
emb_255,0.0012275608
emb_165,0.0012274653
emb_5,0.0012256806
emb_303,0.0012227255
